secondPagePath,channelGrouping,uniquePageviews
www.mysite.com/request-a-brochure/index.html,Referral,1522
www.mysite.com/offers-and-widget/value-your-car/index.html,Organic Search,1476
www.mysite.com/dealer-locator.html,Referral,1465
comparison.mysite.com/home,Direct,1412
www.mysite.com/mysite-racing/get-involved/index.html,Paid Search,1402
www.mysite.com/outforlunch/connectivity/outforlunch-apps.html,Organic Search,1294
rules.config.mysite.comtwconfigure/model,Referral,1227
www.mysite.com/cookie-and-privacy-policy.html,Paid Search,1217
www.mysite.com/news/mysite-electrifies-with-i-product-concept-car.html,Paid Search,1201
rules.config.mysite.comtwconfigure/model,Referral,1198
rules.config.mysite.comtwconfigure/model,Social,1188
www.mysite.com/reviews/index.html,Paid Search,1184
www.mysite.com/mysite-rangetwbuild-yours.html,Display,1165
www.mysite.com/mysite-rangetwindex.html,(Other),1156
www.mysite.com/mysite-rangetwindex.html,Social,1149
www.mysite.com/market-selector.html,Paid Search,1139
www.mysite.com/mysite-racing/get-involved/index.html,Direct,1130
www.mysite.com/offers-and-widget/index.html,Social,1062
www.mysite.com/mysite-rangetwindex.html,Social,1056
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Direct,1031
www.mysite.com/news/mysite-electrifies-with-i-product-concept-car.html,Organic Search,966
www.mysite.com/contact-us/index.html,Direct,957
rules.config.mysite.comtwconfigure/model,Display,946
www.mysite.com/outforlunch/connectivity/outforlunch-apps.html,Paid Search,930
www.mysite.com/news/index.html,Organic Search,927
www.mysite.com/search.html,Referral,921
www.mysite.com/mysite-rangetwindex.html,Display,892
www.mysite.com/owners/servicing-maintenance/book-service-online.html,Direct,892
www.mysite.com/cookie-and-privacy-policy.html,Organic Search,888
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Organic Search,859
www.mysite.com/careers.html,Direct,847
www.mysite.com/mysite-range/f-product/index.html,Social,847
www.mysite.com/mysite-range/f-prod/index.html,Social,846
www.mysite.com/mysite-range/i-product-concept-car/index.html,Display,833
www.mysite.com/offers-and-widget/index.html,(Other),817
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Paid Search,815
www.mysite.com/daphalltheway/index.html,Referral,802
companymeringuecalculator.mysite.com/select/single,Direct,795
www.mysite.com/news/f-product-wins-car-of-the-year.html,Paid Search,788
widgetcalculator.mysite.com/bag/en/gb/models,Direct,764
www.mysite.com/about-mysite/secret_service/index.html,Referral,757
gear.mysite.com/gb/en/,Organic Search,740
www.mysite.com/experience-mysite/factory-tours/index.html,Organic Search,735
www.mysite.com/about-mysite/secret_service/project-8.html,Display,719
www.mysite.com/about-mysite/index.html,Referral,716
www.mysite.com/market-selector.html,Organic Search,711
rules.config.mysite.com/f-prod/configure/model,Social,708
www.mysite.com/owners/accessories/index.html,Organic Search,702
www.mysite.com/offers-and-widget/value-your-car/index.html,Direct,686
www.mysite.com/owners/index.html,Social,660
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Organic Search,654
rules.config.mysite.com/f-product/configure/model,Social,642
www.mysite.com/mysite-range/mysite-e-product/index.html,Display,632
www.mysite.com/mysite-rangetwsportbrake/index.html,Referral,632
www.mysite.comtwindex.html,Organic Search,629
www.mysite.com/mysite-range/f-product/index.html,(Other),621
www.mysite.com/mysite-rangetwbuild-yours.html,Social,616
www.mysite.com/outforlunch/connectivity/outforlunch-apps.html,Direct,615
www.mysite.com/news/mysite-electrifies-with-i-product-concept-car.html,Direct,615
www.mysite.com/reviews/index.html,Direct,600
buildyour.mysite.com/product_x/configure/model,Display,597
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Paid Search,595
www.mysite.com/about-mysite/secret_service/project-8.html,Social,593
www.mysite.com/offers-and-widget/all-offers/mysite-business-contract-hire.html,Paid Search,584
buildyour.mysite.com/product_x/configure/engine,Organic Search,580
www.mysite.com/fleet-and-business/index.html,Referral,580
www.mysite.com/offers-and-widget/mysite-business-contract-hire.html,Paid Search,571
www.mysite.com/mysite-range/i-product-concept-car/index.html,Social,568
www.mysite.com/owners/index.html,Display,557
gear.mysite.com/gb/en/,Paid Search,547
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Direct,541
www.mysite.com/offers-and-widget/all-offers/index.html,Direct,537
www.mysite.com/mysite-rangetwindex.html,Social,510
rules.config.mysite.com/f-product/configure/model,(Other),506
www.mysite.com/cookie-and-privacy-policy.html,Direct,502
www.mysite.com/mysite-rangetwindex.html,(Other),500
www.mysite.com/news/f-product-wins-car-of-the-year.html,Organic Search,486
www.mysite.com/offers-and-widget/widget-products/mysite-privilege.html,Organic Search,486
www.mysite.com/about-mysite/concept-cars/index.html,Organic Search,481
www.mysite.com/offers-and-widget/mysite-business-contract-hire.html,Organic Search,471
www.mysite.com/outforlunch/spotify.html,Organic Search,455
www.mysite.com/experience-mysite/factory-tours/index.html,Paid Search,451
www.mysite.com/owners/def-adblue.html,Organic Search,451
www.mysite.com/mysite-range/index.html,Referral,445
rules.config.mysite.comtwconfigure/model,(Other),441
www.mysite.com/mysite-range/f-product/f-product-models/index.html,Organic Search,433
www.mysite.com/offers-and-widget/widget-products/mysite-privilege.html,Paid Search,426
www.mysite.com/owners/def-adblue.html,Paid Search,423
www.mysite.com/mysite-range/mysite-e-product/index.html,Social,422
www.mysite.com/dealer-locator.html,Display,412
widgetcalculator.mysite.com/bag/en/gb/fleet,Organic Search,410
gear.mysite.com/gb/en/,Direct,404
buildyour.mysite.com/product_x/configure/engine,Paid Search,399
www.mysite.com/august-sales-event/index.html,Referral,399
www.mysite.com/sitemap.html,Paid Search,396
www.mysite.com/offers-and-widget/widget-products/index.html,Organic Search,394
www.mysite.com/market-selector.html,Direct,393
rules.config.mysite.comtwconfigure/model,Social,383
www.mysite.com/offers-and-widget/widget-products/index.html,Paid Search,381
buildyour.mysite.com/product_x/configure/model,Social,378
www.mysite.com/mysite-range/f-prod/models/index.html,Organic Search,378
www.mysite.com/about-mysite/concept-cars/index.html,Paid Search,371
www.mysite.com/mysite-range/f-product/f-product-pricing-specifications/index.html,Organic Search,367
buildyour.mysite.com/product_x/configure/engine,Direct,362
www.mysite.com/about-mysite/secret_service/index.html,Display,357
www.mysite.com/experience-mysite/factory-tours/index.html,Direct,354
www.mysite.com/sitemap.html,Organic Search,354
www.mysite.com/outforlunch/spotify.html,Paid Search,351
www.mysite.com/owners/def-adblue.html,Direct,348
www.mysite.com/daphalltheway/i-product-etrophy.html,Referral,346
rules.config.mysite.com/xfsb/configure/model,Paid Search,333
www.mysite.com/experience-mysite/local-events/index.html,Organic Search,330
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Direct,328
www.mysite.com/news/goodwood-festival-of-speed.html,Organic Search,328
www.mysite.com/offers-and-widget/widget-products/personal-contract-hire.html,Organic Search,322
www.mysite.com/about-mysite/concept-cars/index.html,Direct,313
www.mysite.com/owners/index.html,(Other),312
widgetcalculator.mysite.com/bag/en/gb/fleet,Paid Search,310
www.mysite.com/market-selector.html,Referral,310
www.mysite.com/retailer-locator/index.html,Referral,307
www.mysite.com/mysite-range/f-product/f-product-models/index.html,Paid Search,303
www.mysite.com/request-a-brochure/index.html,Display,300
www.mysite.com/offers-and-widget/all-offers/mysite-business-contract-hire.html,Organic Search,298
rules.config.mysite.com/f-product/configure/jdxpayoff,Organic Search,296
www.mysite.com/experience-mysite/index.html,Referral,293
www.mysite.com/mysite-rangetwaccessories/index.html,Organic Search,291
www.mysite.comtwindex.html,Paid Search,288
www.mysite.com/news/index.html,Paid Search,284
rules.config.mysite.comtwconfigure/model,(Other),283
www.mysite.com/experience-mysite/r-performance-centres.html,Organic Search,281
www.mysite.com/news/goodwood-festival-of-speed.html,Paid Search,280
www.mysite.com/outforlunch/index.html,Organic Search,278
www.mysite.com/about-mysite/secret_service.html,Referral,274
www.mysite.com/market-selector.html,Paid Search,268
www.mysite.com/mysite-range/f-prod/index.html,(Other),264
www.mysite.com/newstwautoexpress-award.html,Paid Search,262
www.mysite.com/mysite-range/i-product-concept-car/index.html,(Other),249
www.mysite.com/build-yours/index.html,Email,248
www.mysite.com/daphalltheway/index.html,Display,248
www.mysite.com/news/tech-fest.html,Organic Search,246
www.mysite.com/august-sales-event/index.html,Social,243
www.mysite.com/news/index.html,Direct,242
rules.config.mysite.comtwconfigure/model,Social,240
www.mysite.com/mysite-range/index.html,Display,240
www.mysite.com/comparison-tool/index.html,Referral,238
rules.config.mysite.comtwconfigure/model,(Other),233
widgetcalculator.mysite.com/bag/en/gb/models,Referral,232
www.mysite.com/news/mysite-xf-wins-golden-steering.html,Organic Search,232
www.mysite.com/mysite-range/f-product/experience-f-product/index.html,Organic Search,230
rules.config.mysite.com/f-prod/configure/model,(Other),227
www.mysite.com/outforlunch/spotify.html,Direct,224
www.mysite.com/mysite-range/f-prod/coupe-models/index.html,Organic Search,220
www.mysite.com/mysite-racing/index.html,Organic Search,217
www.mysite.com/news/f-product-wins-car-of-the-year.html,Direct,217
www.mysite.com/careers.html,Referral,216
www.mysite.com/contact-us/index.html,Referral,214
www.mysite.com/news/mysite-xf-wins-golden-steering.html,Direct,214
www.mysite.com/mysite-rangetwsportbrake/index.html,Display,213
www.mysite.com/newstwbest-executive-award.html,Paid Search,210
www.mysite.com/dealer-locator.html,(Other),208
www.mysite.com/about-mysite/secret_service/index.html,Social,204
www.mysite.com/experience-mysite/index.html,Social,197
www.mysite.com/outforlunch/index.html,Paid Search,197
www.mysite.com/daphalltheway/i-product-etrophy.html,Display,195
www.mysite.com/owners/servicing-maintenance/service-plans.html,Organic Search,193
www.mysite.com/daphalltheway/index.html,Social,191
www.mysite.com/about-mysite/index.html,Social,190
www.mysite.com/news/mysite-xf-wins-golden-steering.html,Paid Search,190
www.mysite.com/sitemap.html,Direct,188
www.mysite.com/owners/servicing-maintenance/index.html,Organic Search,185
jdxforms.mysite.com/mysite-gb-en/servlet/SmartForm.html,Referral,182
www.mysite.com/experience-mysite/r-performance-centres.html,Paid Search,182
rules.config.mysite.com/f-product/configure/exterior,Organic Search,181
www.mysite.com/mysite-rangetwindex.html,(Other),181
www.mysite.com/mysite-rangetwmodels/index.html,Organic Search,181
www.mysite.com/newstwautoexpress-award.html,Direct,181
www.mysite.com/offers-and-widget/value-your-car/index.html,Referral,179
www.mysite.com/news/tech-fest.html,Direct,177
www.mysite.com/mysite-rangetwxe-models/index.html,Paid Search,175
comparison.mysite.com/home,(Other),174
www.mysite.com/about-mysite/mysite-classic/index.html,Organic Search,174
